title,description,headers,author,read_time
"In 2020, we bought out our investor's shares, we gave back €200K from a loan and I finally bought my co-founder's shares. What a year!","In our last article, we shared our crazy last year at PixelMe after raising $1.3M. Specifically, we explained why: Quick reminder: “Beginning of January 2020, our attribution product was stopped…","['From 3 to … 1?', 'Investor stocks buyback']",Tom Benattar,5 min read
How to Build ERC-721 NFTs with IPFS,"Using Open Zeppelin, Truffle, and Pinata","['Bringing It All Together', 'Adding Asset to IPFS', 'Writing the Smart Contract', 'Getting Started']",Justin Hunter,12 min read
Linear raises $13M in Series A funding from Sequoia Capital,"At Linear our focus has been on empowering builders to focus on their work of creating software. In the past year, we have come a long way and we are excited to share the latest milestones in our…",[],Karri Saarinen,6 min read
Y Combinator’s Michael Seibel & Dalton Caldwell — Lessons from 5000 Entrepreneurs,"Miguel Armaza sits down with Michael Seibel and Dalton Caldwell, Managing Directors and Group Partners at the legendary Y Combinator. In case you don’t know, Y Combinator is one of the most…",[],Miguel Armaza,7 min read
Stop giving shares to advisors,"Sammy is the Managing Director and Cofounder of Blossom Street Ventures. Email him directly at sammy@blossomstreetventures.com, especially founders. A startup founder recently asked “so what’s the…",[],Sammy Abdullah,2 min read
Entrepreneurs! Avoid my startup fundraising mistakes!,"I’ve raised capital several times in my long Silicon Valley career, and I cringe now when I think back on how naive I was in some of my early fundraising meetings. Since my job now is to be a…",[],Bret Waters,2 min read
Fundraising Commandments,"As a pre-seed & seed investor, I see hundreds of pitches every year. I’m also constantly working with a handful of companies looking to raise their Series A/B/C rounds. What follows below are the…",[],Kent Goldman,2 min read
From Zero to $1000 MRR in 4 Months — How I Created a Shopify App MicroSaaS,Some time ago I stumbled upon the Shopify developers page which stated that $272K is the average annual earnings for the top 25% of their app developers. It made me think that it would be interesting…,['Some Key Takeaways'],Erikas Mališauskas,7 min read
Books That Every Entrepreneur Should Read in 2021,"This list of useful readings has been created to help you best prepare for the entrepreneurial journey ahead. These are relevant for first time founders, and will serve as good refreshers for those…","['“General Magic” by Sarah Kerruish, Matt Maude and Michael Stern', 'BONUS! 🎬', '“Powerful: Building a Culture of Freedom and Responsibility” by Patty McCord', '“Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.” by Brené Brown', '“High growth handbook” by Elad Gil', '“Pitch Anything” by Oren Klaff', '“Intercom on Starting up” by Des Traynor, Eoghan McCabe, Paul Adams', '“Hooked: How to Build Habit-Forming Products” by Nir Eyal', '“Think Again: The Power of Knowing What You Don’t Know” by Adam Grant', '“Trillion Dollar Coach: The Leadership Playbook of Silicon Valley’s Bill Campbell” by Eric Schmidt, Jonathan Rosenberg and Alan Eagle', '“Black Box Thinking: Why Some People Never Learn from Their Mistakes — But Some Do” by Matthew Syed', '“How to Win Friends and Influence People” by Dale Carnegie', '“Freakonomics: A Rogue Economist Explores the Hidden Side of Everything” by Steven D. Levitt and Stephen J. Dubner', '“It Doesn’t Have to Be Crazy at Work” by Jason Fried and David Heinemeier Hansson', '“Getting to Yes: Negotiating an agreement without giving in” by Roger Fisher and William Ury', '“The Mom Test: How to Talk to Customers and Learn If Your Business is a Good Idea when Everyone is Lying to You” by Rob Fitzpatrick', '“Startupland: How Three Guys Risked Everything to Turn an Idea into a Global Business” by Mikkel Svane and Carlye Adler']",Antler Team,6 min read
The most important startup advice ever.,I’ve been immersed in the Silicon Valley startup world for my entire career. I’ve worked with hundreds of entrepreneurs through my teaching at Stanford and my work with two startup accelerators. This…,[],Bret Waters,2 min read
